Modification,Chassis ID,Engine,Drive
X SA III,"5BA-,LA810S",KF,Full-time 4WD
G MAKE UP LIMITED SA III,"5BA-,LA800S",KF,FF
G BLACK INTERIOR LIMITED SA III,"5BA-,LA800S",KF,FF
X MAKE UP LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
X BLACK INTERIOR LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
SX,"E-,F300S",HD-E,Part-time 4WD
SE,"E-,F300S",HD-E,Part-time 4WD
DX,"E-,F300S",HD-E,Part-time 4WD
X LIMITED SA III,"DBA-,LA150S",KF,FF
L SA III,"DBA-,LA160S",KF,Full-time 4WD
X,"DBA-,LA160S",KF,Full-time 4WD
X TURBO SA III,"DBA-,LA150S",KF,FF
X SA III,"DBA-,LA160S",KF,Full-time 4WD
X LIMITED SA III,"DBA-,LA160S",KF,Full-time 4WD
X TURBO SA III,"DBA-,LA160S",KF,Full-time 4WD
R,"E-,L111S",EF-HL,FF
R,"E-,L111S",EF-HL,FF
OXY,"E-,L111S",EF-HL,FF
OXY,"E-,L111S",EF-HL,FF
KEN DONE S,"M-,L100S",EB,FF
KEN DONE,"M-,L100V",EB,FF
KEN DONE,"M-,L100V",EB,FF
X,"DBA-,L245S",KF-VE,Full-time 4WD
D,"DBA-,L245S",KF-VE,Full-time 4WD
X SPECIAL,"DBA-,L235S",KF-VE,FF
X SPECIAL,"CBA-,L245S",KF-VE,Full-time 4WD
CUSTOM,"DBA-,L235S",KF-VE,FF
CUSTOM,"DBA-,L235S",KF-VE,FF
X,"DBA-,L235S",KF-VE,FF
BEEX L SELECTION,"GH-,L800S",EF-VE,FF
CLASSIC,"GH-,L810S",EF-VE,Full-time 4WD
CLASSIC,"GH-,L810S",EF-VE,Full-time 4WD
CLASSIC L SELECTION,"GF-,L810S",EF-SE,Full-time 4WD
CLASSIC L SELECTION,"GF-,L810S",EF-SE,Full-time 4WD
BEEX S,"GF-,L810S",EF-DET,Full-time 4WD
BEEX S,"GF-,L810S",EF-DET,Full-time 4WD
BEEX L SELECTION,"GH-,L810S",EF-VE,Full-time 4WD
F,"UA-,L750S",EF-VE,FF
F STAR EDITION,"UA-,L750S",EF-VE,FF
G,"UA-,L750S",EF-VE,FF
G,"UA-,L750S",EF-VE,FF
TURBO F,"LA-,L760S",EF-DET,Full-time 4WD
COOL,"CBA-,L550S",EF-VE,FF
COOL TURBO,"CBA-,L560S",EF-DET,Full-time 4WD
COOL,"CBA-,L560S",EF-VE,Full-time 4WD
L,"CBA-,L560S",EF-VE,Full-time 4WD
L,"DBA-,L550S",EF-VE,FF
X SMART SELECTION SN,"DBA-,L585S",KF,Full-time 4WD
CUSTOM RS SMART SELECTION SN,"DBA-,L575S",KF,FF
CUSTOM G SMART SELECTION SN,"DBA-,L575S",KF,FF
CUSTOM X VS SMART SELECTION SN,"DBA-,L575S",KF,FF
CUSTOM X VS,"DBA-,L575S",KF,FF
CL LIMITED,"E-,G303G",HE-EG,FF
CX,"E-,G311G",HD-EP,Full-time 4WD
CX,"E-,G311G",HD-EP,Full-time 4WD
CL LIMITED,"E-,G311G",HD-EP,Full-time 4WD
AERO CUSTOM,"E-,G301G",HD-EP,FF
CUSTOM RS SA III,"DBA-,LA600S",KF,FF
CUSTOM X SA III,"DBA-,LA610S",KF,Full-time 4WD
CUSTOM RS TOP EDITION SA III,"DBA-,LA600S",KF,FF
CUSTOM X TOP EDITION SA III,"DBA-,LA610S",KF,Full-time 4WD
CUSTOM X TOP EDITION LIMITED SA III,"DBA-,LA610S",KF,Full-time 4WD
L LEISURE EDITION SA II,"DBA-,LA710S",KF,Full-time 4WD
G TURBO SA II,"DBA-,LA710S",KF,Full-time 4WD
G TURBO LEISURE EDITION SA II,"DBA-,LA710S",KF,Full-time 4WD
X MONTBELL VERSION SA,"DBA-,LA700S",KF,FF
CUSTOM RS,"CBA-,L465S",KF-DET,Full-time 4WD
CUSTOM S,"CBA-,L465S",KF-VE,Full-time 4WD
CZ,"TA-,M101S",K3-VE2,FF
CZ,"TA-,M101S",K3-VE2,FF
CZ,"TA-,M111S",K3-VE2,Full-time 4WD
CZ,"TA-,M111S",K3-VE2,Full-time 4WD
TOURING,"TA-,M101S",K3-VE2,FF
X,"TA-,J111G",EF-DET,Full-time 4WD
X,"TA-,J111G",EF-DET,Full-time 4WD
L,"TA-,J111G",EF-DEM,Full-time 4WD
L,"TA-,J111G",EF-DEM,Full-time 4WD
TR-XX AVANZATO-R,"E-,L502S",JB-JL,FF
TR-XX AVANZATO-R,"E-,L502S",JB-JL,FF
TR-XX AVANZATO R4,"E-,L512S",JB-JL,Full-time 4WD
LI,"UA-,L950S",EF-VE,FF
LI,"LA-,L960S",EF-VE,Full-time 4WD
L,"UA-,L950S",EF-VE,FF
L,"UA-,L950S",EF-VE,FF
SQ,"E-,YB21G",3Y-EU,FR
CARGO CUSTOM,"V-,K100C",EF,FR
B TYPE,"V-,K100P",EF,FR
D TYPE,"V-,K100P",EF,FR
R TYPE,"V-,K100P",EF,FR
D TYPE,"V-,K100P",EF,FR
R TYPE,"V-,K100P",EF,FR
CARGO D TYPE,"V-,K100C",EF,FR
SE,"E-,SR50N",3S-FE,Full-time 4WD
COUPE,-,KF,FF
L,"DBA-,L275S",KF-VE,FF
X LIMITED,"DBA-,L285S",KF-VE,Full-time 4WD
X,"DBA-,L285S",KF-VE,Full-time 4WD
L,"DBA-,L285S",KF-VE,Full-time 4WD
TX SPECIAL,"HBD-,L275V",KF-VE,FF
CX,"CBA-,M402S",3SZ-VE,FF
G SA III,"5BA-,LA810S",KF,Full-time 4WD
G MAKE UP LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
G BLACK INTERIOR LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
X WHITE ACCENT LIMITED SA III,"5BA-,LA800S",KF,FF
X BLACK ACCENT LIMITED SA III,"5BA-,LA800S",KF,FF
SX,"E-,G203S",HE-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
CX,"E-,G203S",HE-EG,FF
STYLE X LIMITED SA III,"DBA-,LA250S",KF,FF
X LIMITED SA III,"DBA-,LA150S",KF,FF
X LIMITED SA III,"DBA-,LA160S",KF,Full-time 4WD
CUSTOM X LIMITED II SA III,"DBA-,LA150S",KF,FF
CUSTOM X LIMITED II SA III,"DBA-,LA160S",KF,Full-time 4WD
CUSTOM RS HYPER LIMITED SA III,"DBA-,LA150S",KF,FF
CUSTOM RS HYPER LIMITED SA III,"DBA-,LA160S",KF,Full-time 4WD
L SA III,"DBA-,LA150S",KF,FF
L,"DBA-,LA150S",KF,FF
CHA CHA,"M-,L100V",EB,FF
CHA CHA,"M-,L100V",EB,FF
TR-ZZ,"M-,L100V",EB,FF
TR-ZZ,"M-,L100V",EB,FF
TR-ZZ,"M-,L100V",EB,FF
Y,"M-,L100V",EB,FF
Y,"M-,L100V",EB,FF
X,"M-,L100V",EB,FF
D,"DBA-,L235S",KF-VE,FF
D,"DBA-,L235S",KF-VE,FF
CUSTOM,"CBA-,L245S",KF-VE,Full-time 4WD
X,"CBA-,L245S",KF-VE,Full-time 4WD
D,"CBA-,L245S",KF-VE,Full-time 4WD
VS MEMORIAL EDITION,"DBA-,L235S",KF-VE,FF
VS MEMORIAL EDITION,"DBA-,L235S",KF-VE,FF
VS MEMORIAL EDITION,"CBA-,L245S",KF-VE,Full-time 4WD
BEEX L SELECTION,"GH-,L810S",EF-VE,Full-time 4WD
BEEX L SELECTION,"GH-,L810S",EF-VE,Full-time 4WD
CLASSIC,"TA-,L800S",EF-VE,FF
CLASSIC,"TA-,L800S",EF-VE,FF
CLASSIC,"TA-,L810S",EF-VE,Full-time 4WD
CLASSIC,"TA-,L810S",EF-VE,Full-time 4WD
CLASSIC L SPECIAL,"GF-,L800S",EF-SE,FF
TURBO G,"LA-,L760S",EF-DET,Full-time 4WD
TURBO G,"LA-,L760S",EF-DET,Full-time 4WD
F,"LA-,L760S",EF-VE,Full-time 4WD
X,"DBA-,L550S",EF-VE,FF
X LIMITED,"CBA-,L550S",EF-VE,FF
RS,"CBA-,L550S",EF-DET,FF
X,"CBA-,L560S",EF-VE,Full-time 4WD
CUSTOM X SMART SELECTION SN,"DBA-,L575S",KF,FF
CUSTOM RS SMART SELECTION SN,"DBA-,L585S",KF,Full-time 4WD
CUSTOM G SMART SELECTION SN,"DBA-,L585S",KF,Full-time 4WD
CUSTOM X VS SMART SELECTION SN,"DBA-,L585S",KF,Full-time 4WD
CUSTOM X VS,"DBA-,L585S",KF,Full-time 4WD
CUSTOM X SMART SELECTION SN,"DBA-,L585S",KF,Full-time 4WD
G NAVI,"DBA-,L575S",KF,FF
AERO CUSTOM,"E-,G301G",HD-EP,FF
AERO CUSTOM,"E-,G311G",HD-EP,Full-time 4WD
AERO CUSTOM,"E-,G311G",HD-EP,Full-time 4WD
CL LIMITED,"E-,G311G",HD-EP,Full-time 4WD
AERO CUSTOM,"E-,G301G",HD-EP,FF
AERO CUSTOM,"E-,G301G",HD-EP,FF
CUSTOM RS SA III,"DBA-,LA610S",KF,Full-time 4WD
CUSTOM RS TOP EDITION SA III,"DBA-,LA610S",KF,Full-time 4WD
L SA III,"DBA-,LA610S",KF,Full-time 4WD
X,"DBA-,LA610S",KF,Full-time 4WD
X,"DBA-,LA600S",KF,FF
L SA III,"DBA-,LA600S",KF,FF
X MONTBELL VERSION SA,"DBA-,LA710S",KF,Full-time 4WD
X NAMIDENSETSU VERSION SA,"DBA-,LA700S",KF,FF
X NAMIDENSETSU VERSION SA,"DBA-,LA710S",KF,Full-time 4WD
X FINE SELECTION SA,"DBA-,LA700S",KF,FF
X FINE SELECTION SA,"DBA-,LA710S",KF,Full-time 4WD
L FINE SELECTION SA,"DBA-,LA700S",KF,FF
L FINE SELECTION SA,"DBA-,LA710S",KF,Full-time 4WD
G SA,"DBA-,LA700S",KF,FF
TOURING,"TA-,M101S",K3-VE2,FF
TOURING,"TA-,M111S",K3-VE2,Full-time 4WD
TOURING,"TA-,M111S",K3-VE2,Full-time 4WD
TOURING LIMITED,"TA-,M101S",K3-VE2,FF
TOURING LIMITED,"TA-,M101S",K3-VE2,FF
TOURING LIMITED,"TA-,M111S",K3-VE2,Full-time 4WD
TOURING LIMITED,"TA-,M111S",K3-VE2,Full-time 4WD
CZ CLASSIC,"TA-,M101S",K3-VE2,FF
CZ CLASSIC,"TA-,M101S",K3-VE2,FF
CZ CLASSIC,"TA-,M111S",K3-VE2,Full-time 4WD
CZ CLASSIC,"TA-,M111S",K3-VE2,Full-time 4WD
CUSTOM STAR EDITION,"TA-,J131G",EF-DEM,FR
CUSTOM STAR EDITION,"TA-,J111G",EF-DEM,Full-time 4WD
CUSTOM STAR EDITION,"TA-,J111G",EF-DEM,Full-time 4WD
AERO DOWN CUSTOM X,"TA-,J131G",EF-DET,FR
CUSTOM MEMORIAL EDITION,"TA-,J131G",EF-DEM,FR
CL LIMITED,"TA-,J131G",EF-DEM,FR
TR-XX AVANZATO R4,"E-,L512S",JB-JL,Full-time 4WD
TR-XX AVANZATO,"E-,L500S",EF-JL,FF
TR-XX AVANZATO,"E-,L500S",EF-JL,FF
TR-XX AVANZATO-R,"E-,L502S",JB-JL,FF
L,"LA-,L960S",EF-VE,Full-time 4WD
L,"LA-,L960S",EF-VE,Full-time 4WD
RS,"LA-,L952S",JB-DET,FF
RI,"LA-,L950S",EF-DET,FF
LI,"UA-,L950S",EF-VE,FF
L,"UA-,L950S",EF-VE,FF
L,"UA-,L950S",EF-VE,FF
SE,"E-,YB21G",3Y-EU,FR
SE,"E-,YB21G",3Y-EU,FR
SE,"KD-,CB22G",3C-T,FR
SE,"KD-,CB22G",3C-T,FR
SE,"KD-,CB31G",3C-T,Part-time 4WD
SE,"KD-,CB31G",3C-T,Part-time 4WD
SQ,"E-,YB21G",3Y-EU,FR
CARGO R TYPE,"V-,K100C",EF,FR
CARGO D TYPE,"V-,K100C",EF,FR
CARGO R TYPE,"V-,K100C",EF,FR
CUSTOM,"V-,K100P",EF,FR
CARGO CUSTOM,"V-,K100C",EF,FR
R LIMITED,"V-,K100P",EF,FR
SE,"E-,SR40N",3S-FE,FR
SE,"E-,SR40N",3S-FE,FR
SE,"E-,SR50N",3S-FE,Full-time 4WD
SQ,"E-,SR40N",3S-FE,FR
SQ,"E-,SR50N",3S-FE,Full-time 4WD
TRANS FIELD,"E-,SR40N",3S-FE,FR
COUPE,-,KF,FF
ROBE,"DBA-,LA400K",KF,FF
ROBE,"DBA-,LA400K",KF,FF
TX SPECIAL,"HBD-,L275V",KF-VE,FF
TX,"HBD-,L275V",KF-VE,FF
TX,"HBD-,L275V",KF-VE,FF
CL,"CBA-,M401S",K3-VE,FF
CX,"CBA-,M411S",K3-VE,Full-time 4WD
CX,"CBA-,M402S",3SZ-VE,FF
CL,"CBA-,M401S",K3-VE,FF
CX,"CBA-,M411S",K3-VE,Full-time 4WD
G WHITE ACCENT LIMITED SA III,"5BA-,LA800S",KF,FF
G BLACK ACCENT LIMITED SA III,"5BA-,LA800S",KF,FF
X WHITE ACCENT LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
X BLACK ACCENT LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
SX,"E-,G203S",HE-EG,FF
POSE,"E-,G203S",HE-EG,FF
POSE,"E-,G203S",HE-EG,FF
SX,"E-,G213S",HE-EG,Full-time 4WD
SX,"E-,G213S",HE-EG,Full-time 4WD
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
CX,"E-,G203S",HE-EG,FF
POSE,"E-,G200S",HC-E,FF
POSE,"E-,G200S",HC-E,FF
POSE,"E-,G200S",HC-E,FF
POSE,"E-,G200S",HC-E,FF
CX,"E-,G213S",HE-EG,Full-time 4WD
ACTIVA X LIMITED SA III,"DBA-,LA250S",KF,FF
STYLE X LIMITED SA III,"DBA-,LA260S",KF,Full-time 4WD
ACTIVA X LIMITED SA III,"DBA-,LA260S",KF,Full-time 4WD
STYLE G LIMITED SA III,"DBA-,LA250S",KF,FF
X,"DBA-,LA150S",KF,FF
L,"DBA-,LA150S",KF,FF
L,"DBA-,LA160S",KF,Full-time 4WD
X SA III,"DBA-,LA150S",KF,FF
X,"M-,L100V",EB,FF
CLUB SPORTS,"M-,L100V",EB,FF
CLUB SPORTS,"M-,L100V",EB,FF
D SELECTION,"DBA-,L235S",KF-VE,FF
D SELECTION,"DBA-,L235S",KF-VE,FF
D SELECTION,"CBA-,L245S",KF-VE,Full-time 4WD
D,"DBA-,L235S",KF-VE,FF
D,"CBA-,L245S",KF-VE,Full-time 4WD
X,"CBA-,L245S",KF-VE,Full-time 4WD
CLASSIC L SPECIAL,"GF-,L800S",EF-SE,FF
CLASSIC L SPECIAL,"GF-,L810S",EF-SE,Full-time 4WD
CLASSIC L SPECIAL,"GF-,L810S",EF-SE,Full-time 4WD
BEEX S,"GF-,L800S",EF-DET,FF
F STAR EDITION,"LA-,L760S",EF-VE,Full-time 4WD
G,"LA-,L760S",EF-VE,Full-time 4WD
G,"LA-,L760S",EF-VE,Full-time 4WD
X LIMITED,"CBA-,L560S",EF-VE,Full-time 4WD
RS,"CBA-,L560S",EF-DET,Full-time 4WD
RS LIMITED,"CBA-,L550S",EF-DET,FF
RS LIMITED,"CBA-,L560S",EF-DET,Full-time 4WD
X,"DBA-,L575S",KF,FF
L,"DBA-,L575S",KF,FF
G NAVI,"DBA-,L585S",KF,Full-time 4WD
X,"DBA-,L585S",KF,Full-time 4WD
L,"DBA-,L585S",KF,Full-time 4WD
G NAVI,"DBA-,L575S",KF,FF
X,"DBA-,L575S",KF,FF
L,"DBA-,L575S",KF,FF
G NAVI,"DBA-,L585S",KF,Full-time 4WD
X,"DBA-,L585S",KF,Full-time 4WD
CX,"E-,G303G",HE-EG,FF
CX,"E-,G303G",HE-EG,FF
CL,"E-,G303G",HE-EG,FF
CL,"E-,G303G",HE-EG,FF
AERO CUSTOM,"E-,G311G",HD-EP,Full-time 4WD
AERO CUSTOM,"E-,G311G",HD-EP,Full-time 4WD
CX,"E-,G311G",HD-EP,Full-time 4WD
CX,"E-,G311G",HD-EP,Full-time 4WD
CL,"E-,G311G",HD-EP,Full-time 4WD
CL,"E-,G311G",HD-EP,Full-time 4WD
X SA III,"DBA-,LA600S",KF,FF
L,"DBA-,LA610S",KF,Full-time 4WD
L,"DBA-,LA600S",KF,FF
X TURBO SA III,"DBA-,LA600S",KF,FF
X WHITE ACCENT SA III,"DBA-,LA600S",KF,FF
CUSTOM X,"DBA-,LA600S",KF,FF
G SA III,"DBA-,LA600S",KF,FF
G,"DBA-,LA700S",KF,FF
X SA,"DBA-,LA700S",KF,FF
X,"DBA-,LA700S",KF,FF
L SA,"DBA-,LA700S",KF,FF
L,"DBA-,LA700S",KF,FF
D SA,"DBA-,LA700S",KF,FF
D,"DBA-,LA700S",KF,FF
G SA,"DBA-,LA710S",KF,Full-time 4WD
G,"DBA-,LA710S",KF,Full-time 4WD
X SA,"DBA-,LA710S",KF,Full-time 4WD
CL CLASSIC,"TA-,M100S",EJ-VE,FF
CL CLASSIC,"TA-,M100S",EJ-VE,FF
CL CLASSIC,"TA-,M110S",EJ-VE,Full-time 4WD
CL CLASSIC,"TA-,M110S",EJ-VE,Full-time 4WD
CUSTOM,"GF-,M100S",EJ-DE,FF
CUSTOM,"GF-,M100S",EJ-DE,FF
CUSTOM,"GF-,M110S",EJ-DE,Full-time 4WD
CUSTOM,"GF-,M110S",EJ-DE,Full-time 4WD
CL LIMITED,"TA-,J131G",EF-DEM,FR
CL,"TA-,J131G",EF-DEM,FR
CL,"TA-,J131G",EF-DEM,FR
AERO DOWN CUSTOM X,"TA-,J111G",EF-DET,Full-time 4WD
AERO DOWN CUSTOM X,"TA-,J111G",EF-DET,Full-time 4WD
CUSTOM MEMORIAL EDITION,"TA-,J111G",EF-DEM,Full-time 4WD
CUSTOM MEMORIAL EDITION,"TA-,J111G",EF-DEM,Full-time 4WD
CX,"TA-,J111G",EF-DET,Full-time 4WD
TR-XX AVANZATO-R,"E-,L502S",JB-JL,FF
TR-XX AVANZATO R4,"E-,L512S",JB-JL,Full-time 4WD
AVANZATO G,"E-,L200S",EF-JL,FF
AVANZATO G,"E-,L200S",EF-JL,FF
TR-XX AVANZATO,"E-,L200S",EF-JL,FF
TR-XX AVANZATO,"E-,L200S",EF-JL,FF
RS,"LA-,L962S",JB-DET,Part-time 4WD
RI,"LA-,L960S",EF-DET,Full-time 4WD
LI,"LA-,L960S",EF-VE,Full-time 4WD
L,"LA-,L960S",EF-VE,Full-time 4WD
L,"LA-,L960S",EF-VE,Full-time 4WD
RS LIMITED,"LA-,L952S",JB-DET,FF
RS,"LA-,L952S",JB-DET,FF
RI,"LA-,L950S",EF-DET,FF
SE,"E-,YB21G",3Y-EU,FR
SE,"E-,YB21G",3Y-EU,FR
SE,"KD-,CB22G",3C-T,FR
SE,"KD-,CB22G",3C-T,FR
SE,"KD-,CB31G",3C-T,Part-time 4WD
SE,"KD-,CB31G",3C-T,Part-time 4WD
SE RV PACKAGE,"KD-,CB31G",3C-T,Part-time 4WD
R TYPE,"V-,K100P",EF,FR
D TYPE,"V-,K100P",EF,FR
B TYPE,"V-,K100P",EF,FR
TRANS FIELD,"E-,SR50N",3S-FE,Full-time 4WD
CUSTOM,"E-,SR50N",3S-FE,Full-time 4WD
CUSTOM,"E-,SR40N",3S-FE,FR
CUSTOM,"E-,SR40N",3S-FE,FR
CUSTOM,"E-,SR50N",3S-FE,Full-time 4WD
SQ,"KD-,CR40N",3C-T,FR
SQ,"KD-,CR50N",3C-T,Full-time 4WD
SE,"KD-,CR50N",3C-T,Full-time 4WD
ROBE S,"DBA-,LA400K",KF,FF
ROBE S,"DBA-,LA400K",KF,FF
XPLAY,"DBA-,LA400K",KF,FF
XPLAY,"DBA-,LA400K",KF,FF
XPLAY S,"DBA-,LA400K",KF,FF
XPLAY S,"DBA-,LA400K",KF,FF
CERO,"DBA-,LA400K",KF,FF
CERO,"DBA-,LA400K",KF,FF
CERO S,"DBA-,LA400K",KF,FF
TX SPECIAL,"HBD-,L285V",KF-VE,Full-time 4WD
TX SPECIAL,"HBD-,L285V",KF-VE,Full-time 4WD
TX,"HBD-,L285V",KF-VE,Full-time 4WD
TX,"HBD-,L285V",KF-VE,Full-time 4WD
X SPECIAL,"DBA-,L275S",KF-VE,FF
CL,"DBA-,M401S",K3-VE,FF
CX,"DBA-,M402S",3SZ-VE,FF
CL,"DBA-,M411S",K3-VE,Full-time 4WD
CX,"DBA-,M411S",K3-VE,Full-time 4WD
CX,"DBA-,M402S",3SZ-VE,FF
CL,"DBA-,M401S",K3-VE,FF
CS,"DBA-,M401S",K3-VE,FF
G WHITE ACCENT LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
G BLACK ACCENT LIMITED SA III,"5BA-,LA810S",KF,Full-time 4WD
L SA III,"5BA-,LA800S",KF,FF
L SA III,"5BA-,LA810S",KF,Full-time 4WD
X SA III,"5BA-,LA800S",KF,FF
X MAKE UP LIMITED SA III,"5BA-,LA800S",KF,FF
X BLACK INTERIOR LIMITED SA III,"5BA-,LA800S",KF,FF
G SA III,"5BA-,LA800S",KF,FF
POSE,"E-,G213S",HE-EG,Full-time 4WD
POSE,"E-,G213S",HE-EG,Full-time 4WD
BIANCA,"E-,G201S",HD-EG,FF
BIANCA,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
BASE GRADE,"E-,G201S",HD-EG,FF
CX,"E-,G213S",HE-EG,Full-time 4WD
POSE,"E-,G213S",HE-EG,Full-time 4WD
POSE,"E-,G213S",HE-EG,Full-time 4WD
POSE,"E-,G213S",HE-EG,Full-time 4WD
POSE,"E-,G213S",HE-EG,Full-time 4WD
R-LIMITED,"E-,G203S",HE-EG,FF
R-LIMITED,"E-,G203S",HE-EG,FF
CX,"E-,G203S",HE-EG,FF
ACTIVA G LIMITED SA III,"DBA-,LA250S",KF,FF
STYLE G LIMITED SA III,"DBA-,LA260S",KF,Full-time 4WD
ACTIVA G LIMITED SA III,"DBA-,LA260S",KF,Full-time 4WD
ACTIVA X SA III,"DBA-,LA250S",KF,FF
STYLE X SA III,"DBA-,LA250S",KF,FF
ACTIVA X,"DBA-,LA250S",KF,FF
STYLE X,"DBA-,LA250S",KF,FF
STYLE X,"DBA-,LA260S",KF,Full-time 4WD
L SA III,"DBA-,LA160S",KF,Full-time 4WD
X,"DBA-,LA160S",KF,Full-time 4WD
X TURBO SA III,"DBA-,LA150S",KF,FF
CUSTOM X,"DBA-,LA150S",KF,FF
X SA III,"DBA-,LA160S",KF,Full-time 4WD
X TURBO SA III,"DBA-,LA160S",KF,Full-time 4WD
CUSTOM X LIMITED SA III,"DBA-,LA150S",KF,FF
CUSTOM X,"DBA-,LA160S",KF,Full-time 4WD
CUSTOM X LIMITED SA III,"DBA-,LA150S",KF,FF
CUSTOM X LIMITED SA III,"DBA-,LA160S",KF,Full-time 4WD
CUSTOM RS HYPER SA III,"DBA-,LA150S",KF,FF
L,"CBA-,L245S",KF-VE,Full-time 4WD
D,"CBA-,L245S",KF-VE,Full-time 4WD
L,"DBA-,L235S",KF-VE,FF
L,"DBA-,L235S",KF-VE,FF
X,"DBA-,L235S",KF-VE,FF
CUSTOM,"DBA-,L235S",KF-VE,FF
ECO,"DBA-,L235S",KF-VE,FF
D,"DBA-,L235S",KF-VE,FF
CUSTOM,"DBA-,L235S",KF-VE,FF
CUSTOM,"CBA-,L245S",KF-VE,Full-time 4WD
BEEX S,"GF-,L800S",EF-DET,FF
BEEX S,"GF-,L810S",EF-DET,Full-time 4WD
BEEX S,"GF-,L810S",EF-DET,Full-time 4WD
BEEX L SELECTION,"TA-,L800S",EF-VE,FF
F STAR EDITION,"UA-,L750S",EF-VE,FF
F STAR EDITION,"LA-,L760S",EF-VE,Full-time 4WD
TURBO F,"LA-,L750S",EF-DET,FF
GEAR,"LA-,L750S",EF-DET,FF
TURBO G,"LA-,L750S",EF-DET,FF
TURBO G,"LA-,L750S",EF-DET,FF
F,"UA-,L750S",EF-VE,FF
MEMORIAL EDITION,"UA-,L750S",EF-VE,FF
MEMORIAL EDITION,"UA-,L750S",EF-VE,FF
G,"UA-,L750S",EF-VE,FF
L,"DBA-,L585S",KF,Full-time 4WD
CUSTOM RS,"DBA-,L575S",KF,FF
CUSTOM G,"DBA-,L575S",KF,FF
CUSTOM X,"DBA-,L575S",KF,FF
CUSTOM RS,"DBA-,L585S",KF,Full-time 4WD
CUSTOM G,"DBA-,L585S",KF,Full-time 4WD
CUSTOM X,"DBA-,L585S",KF,Full-time 4WD
G NAVI,"DBA-,L575S",KF,FF
X,"DBA-,L575S",KF,FF
CX,"E-,G303G",HE-EG,FF
CX,"E-,G303G",HE-EG,FF
CL,"E-,G303G",HE-EG,FF
CL,"E-,G303G",HE-EG,FF
CX,"E-,G313G",HE-EG,Full-time 4WD
CX,"E-,G313G",HE-EG,Full-time 4WD
X SA III,"DBA-,LA610S",KF,Full-time 4WD
CUSTOM X SA III,"DBA-,LA600S",KF,FF
X WHITE ACCENT SA III,"DBA-,LA610S",KF,Full-time 4WD
X TURBO SA III,"DBA-,LA610S",KF,Full-time 4WD
CUSTOM X,"DBA-,LA610S",KF,Full-time 4WD
X,"DBA-,LA710S",KF,Full-time 4WD
L SA,"DBA-,LA710S",KF,Full-time 4WD
L,"DBA-,LA710S",KF,Full-time 4WD
MILANO,"GF-,M100S",EJ-DE,FF
MILANO,"GF-,M110S",EJ-DE,Full-time 4WD
CX,"GF-,M100S",EJ-DE,FF
CX,"GF-,M100S",EJ-DE,FF
CX,"TA-,J111G",EF-DET,Full-time 4WD
CL LIMITED,"TA-,J111G",EF-DEM,Full-time 4WD
CL LIMITED,"TA-,J111G",EF-DEM,Full-time 4WD
CL,"TA-,J111G",EF-DEM,Full-time 4WD
CL,"TA-,J111G",EF-DEM,Full-time 4WD
CUSTOM MEMORIAL EDITION,"GF-,J131G",EF-DEM,FR
TR-XX AVANZATO-R,"E-,L200S",EF-JL,FF
TR-XX AVANZATO-R,"E-,L200S",EF-JL,FF
TR-XX X4,"E-,L210S",EF-JL,Full-time 4WD
TR-XX X4,"E-,L210S",EF-JL,Full-time 4WD
TR-XX AVANZATO,"E-,L220S",EF-JL,FF
XI,"UA-,L950S",EF-VE,FF
LI,"UA-,L950S",EF-VE,FF
RS LIMITED,"LA-,L962S",JB-DET,Part-time 4WD
RS,"LA-,L962S",JB-DET,Full-time 4WD
SE RV PACKAGE,"KD-,CB31G",3C-T,Part-time 4WD
SQ,"E-,YB21G",3Y-EU,FR
SQ,"E-,YB21G",3Y-EU,FR
SE,"Q-,CB21G",2C-T,FR
SE,"Q-,CB21G",2C-T,FR
SE,"KD-,CR50N",3C-T,Full-time 4WD
SE,"KD-,CR40N",3C-T,FR
SE,"KD-,CR40N",3C-T,FR
SE,"KD-,CR40N",3C-T,FR
CERO S,"DBA-,LA400K",KF,FF
CERO,"DBA-,LA400K",KF,FF
CERO,"DBA-,LA400K",KF,FF
XPLAY S,"DBA-,LA400K",KF,FF
XPLAY S,"DBA-,LA400K",KF,FF
CERO S,"DBA-,LA400K",KF,FF
X SPECIAL,"DBA-,L285S",KF-VE,Full-time 4WD
X LIMITED ER,"DBA-,L275S",KF-VE,FF
X LIMITED ER,"DBA-,L285S",KF-VE,Full-time 4WD
X LIMITED SMART DRIVE PACKAGE,"DBA-,L275S",KF-VE,FF
